show,network,adults_18_49_week,viewers_week,adults_18_49_season,viewers_season,start_date,end_date
Late Night with Seth Meyers,NBC,0.39/3,1.34,0.45/3,1.54,2016-09-12,2016-09-16
Late Show with Stephen Colbert,CBS,0.46/3,2.16,0.60/3,2.75,2016-09-12,2016-09-16
Nightline,ABC,0.27/2,1.34,0.35/2,1.50,2016-09-12,2016-09-16
The Tonight Show Starring Jimmy Fallon,NBC,0.80/5,3.20,0.99/5,3.62,2016-09-12,2016-09-16
Jimmy Kimmel Live,ABC,0.46/3,2.17,0.46/3,2.17,2016-09-19,2016-09-23
Last Call with Carson Daly,NBC,0.27/3,0.83,0.27/3,0.83,2016-09-19,2016-09-23
Late Late Show with James Corden,CBS,0.33/3,1.28,0.33/3,1.28,2016-09-19,2016-09-23
Late Night with Seth Meyers,NBC,0.46/3,1.50,0.46/3,1.50,2016-09-19,2016-09-23
Late Show with Stephen Colbert,CBS,0.55/3,2.59,0.55/3,2.59,2016-09-19,2016-09-23
Nightline,ABC,0.32/2,1.45,0.32/2,1.45,2016-09-19,2016-09-23
The Tonight Show Starring Jimmy Fallon,NBC,0.89/5,3.43,0.89/5,3.42,2016-09-19,2016-09-23
Jimmy Kimmel Live,ABC,0.50/3,2.14,0.48/3,2.16,2016-09-26,2016-09-30
Last Call with Carson Daly,NBC,0.30/3,0.92,0.29/3,0.88,2016-09-26,2016-09-30
Late Late Show with James Corden,CBS,0.33/3,1.30,0.33/3,1.29,2016-09-26,2016-09-30
Late Night with Seth Meyers,NBC,0.47/4,1.58,0.47/3,1.54,2016-09-26,2016-09-30
Late Show with Stephen Colbert,CBS,0.53/3,2.74,0.54/3,2.67,2016-09-26,2016-09-30
Nightline,ABC,0.34/2,1.41,0.33/2,1.43,2016-09-26,2016-09-30
The Tonight Show Starring Jimmy Fallon,NBC,0.86/5,3.29,0.88/5,3.40,2016-09-26,2016-09-30
Jimmy Kimmel Live,ABC,0.49/3,2.17,0.50/3,2.24,2016-10-10,2016-10-14
Last Call with Carson Daly,NBC,0.30/3,0.93,0.29/3,0.90,2016-10-10,2016-10-14
Late Late Show with James Corden,CBS,0.34/3,1.24,0.34/3,1.31,2016-10-10,2016-10-14
Late Night with Seth Meyers,NBC,0.45/3,1.61,0.47/3,1.59,2016-10-10,2016-10-14
Late Show with Stephen Colbert,CBS,0.51/3,2.27,0.58/3,2.75,2016-10-10,2016-10-14
Nightline,ABC,0.32/2,1.44,0.33/2,1.49,2016-10-10,2016-10-14
The Tonight Show Starring Jimmy Fallon,NBC,0.80/4,3.17,0.90/5,3.43,2016-10-10,2016-10-14
Jimmy Kimmel Live,ABC,0.50/3,2.22,0.50/3,2.26,2016-10-17,2016-10-21
Last Call with Carson Daly,NBC,0.24/2,0.80,0.28/3,0.88,2016-10-17,2016-10-21
Late Late Show with James Corden,CBS,0.35/3,1.36,0.35/3,1.33,2016-10-17,2016-10-21
Late Night with Seth Meyers,NBC,0.37/3,1.33,0.45/3,1.56,2016-10-17,2016-10-21
Late Show with Stephen Colbert,CBS,0.60/3,2.95,0.60/3,2.86,2016-10-17,2016-10-21
Nightline,ABC,0.33/2,1.46,0.34/2,1.49,2016-10-17,2016-10-21
The Tonight Show Starring Jimmy Fallon,NBC,0.72/4,2.66,0.88/5,3.33,2016-10-17,2016-10-21
Jimmy Kimmel Live,ABC,0.49/3,2.27,0.50/3,2.28,2016-10-24,2016-10-28
Last Call with Carson Daly,NBC,0.25/2,0.86,0.28/3,0.88,2016-10-24,2016-10-28
Late Late Show with James Corden,ABC,0.33/2,1.51,0.34/2,1.50,2016-10-24,2016-10-28
Late Late Show with James Corden,CBS,0.29/2,1.27,0.34/3,1.33,2016-10-24,2016-10-28
Late Night with Seth Meyers,NBC,0.44/3,1.51,0.46/3,1.58,2016-10-24,2016-10-28
Late Show with Stephen Colbert,CBS,0.46/2,2.54,0.58/3,2.82,2016-10-24,2016-10-28
The Tonight Show Starring Jimmy Fallon,NBC,0.83/4,3.14,0.89/5,3.35,2016-10-24,2016-10-28
Jimmy Kimmel Live,ABC,0.53/3,2.37,0.51/3,2.30,2016-11-07,2016-11-11
Last Call with Carson Daly,NBC,0.27/2,0.87,0.28/3,0.88,2016-11-07,2016-11-11
Late Late Show with James Corden,CBS,0.29/2,1.25,0.33/3,1.34,2016-11-07,2016-11-11
Late Night with Seth Meyers,NBC,0.44/3,1.49,0.45/3,1.56,2016-11-07,2016-11-11
Late Show with Stephen Colbert,CBS,0.50/3,2.63,0.59/3,2.89,2016-11-07,2016-11-11
Nightline,ABC,0.36/2,1.58,0.34/2,1.51,2016-11-07,2016-11-11
The Tonight Show Starring Jimmy Fallon,NBC,0.88/3,3.16,0.88/5,3.32,2016-11-07,2016-11-11
Jimmy Kimmel Live,ABC,0.49/3,2.39,0.51/3,2.32,2016-11-21,2016-11-25
Last Call with Carson Daly,NBC,0.29/3,0.94,0.28/3,0.88,2016-11-21,2016-11-25
Late Late Show with James Corden,CBS,0.27/2,1.30,0.33/3,1.34,2016-11-21,2016-11-25
Late Night with Seth Meyers,NBC,0.48/3,1.63,0.45/3,1.57,2016-11-21,2016-11-25
Late Show with Stephen Colbert,CBS,0.49/3,2.64,0.58/3,2.90,2016-11-21,2016-11-25
Nightline,ABC,0.30/2,1.48,0.34/2,1.52,2016-11-21,2016-11-25
The Tonight Show Starring Jimmy Fallon,NBC,0.98/5,3.45,0.89/5,3.33,2016-11-21,2016-11-25
Jimmy Kimmel Live,ABC,0.45/2,2.15,0.50/3,2.28,2016-12-05,2016-12-09
Last Call with Carson Daly,NBC,0.29/3,0.95,0.28/3,0.90,2016-12-05,2016-12-09
Late Late Show with James Corden,CBS,0.31/2,1.37,0.33/2,1.49,2016-12-05,2016-12-09
Late Night with Seth Meyers,NBC,0.45/3,1.62,0.46/3,1.60,2016-12-05,2016-12-09
Late Show with Stephen Colbert,CBS,0.55/3,2.84,0.58/3,2.95,2016-12-05,2016-12-09
Nightline,ABC,0.31/3,1.36,0.33/2,1.35,2016-12-05,2016-12-09
The Tonight Show Starring Jimmy Fallon,NBC,0.87/5,3.26,0.91/5,3.41,2016-12-05,2016-12-09
Jimmy Kimmel Live,ABC,0.47/2,2.15,0.50/3,2.27,2016-12-12,2016-12-16
Last Call with Carson Daly,NBC,0.30/3,0.97,0.28/3,0.90,2016-12-12,2016-12-16
Late Late Show with James Corden,CBS,0.29/2,1.34,0.32/2,1.35,2016-12-12,2016-12-16
Late Night with Seth Meyers,NBC,0.48/4,1.73,0.46/3,1.61,2016-12-12,2016-12-16
Late Show with Stephen Colbert,CBS,0.48/3,2.79,0.58/3,2.95,2016-12-12,2016-12-16
Nightline,ABC,0.32/2,1.43,0.33/2,1.49,2016-12-12,2016-12-16
The Tonight Show Starring Jimmy Fallon,NBC,0.92/5,3.47,0.92/5,3.43,2016-12-12,2016-12-16
Jimmy Kimmel Live,ABC,0.55/3,2.38,0.50/3,2.25,2017-01-02,2017-01-06
Last Call with Carson Daly,NBC,0.23/2,0.81,0.28/2,0.90,2017-01-02,2017-01-06
Late Late Show with James Corden,CBS,0.30/2,1.35,0.32/2,1.35,2017-01-02,2017-01-06
Late Night with Seth Meyers,NBC,0.36/3,1.34,0.46/3,1.62,2017-01-02,2017-01-06
Late Show with Stephen Colbert,CBS,0.50/3,2.96,0.57/3,2.95,2017-01-02,2017-01-06
Nightline,ABC,0.36/2,1.52,0.33/2,1.49,2017-01-02,2017-01-06
The Tonight Show Starring Jimmy Fallon,NBC,0.71/4,2.76,0.91/5,3.42,2017-01-02,2017-01-06
Jimmy Kimmel Live,ABC,0.47/3,2.54,0.49/3,2.25,2017-01-09,2017-01-13
Last Call with Carson Daly,NBC,0.24/2,0.85,0.27/2,0.89,2017-01-09,2017-01-13
Late Late Show with James Corden,CBS,0.25/2,1.23,0.31/2,1.34,2017-01-09,2017-01-13
Late Night with Seth Meyers,NBC,0.40/3,1.51,0.45/3,1.61,2017-01-09,2017-01-13
Late Show with Stephen Colbert,CBS,0.40/2,2.18,0.56/3,2.93,2017-01-09,2017-01-13
Nightline,ABC,0.28/2,1.37,0.33/2,1.48,2017-01-09,2017-01-13
The Tonight Show Starring Jimmy Fallon,NBC,0.81/4,3.33,0.90/5,3.42,2017-01-09,2017-01-13
Jimmy Kimmel Live,ABC,0.50/3,2.26,0.50/3,2.25,2017-01-16,2017-01-20
Last Call with Carson Daly,NBC,0.22/2,0.76,0.27/2,0.89,2017-01-16,2017-01-20
Late Late Show with James Corden,CBS,0.29/2,1.30,0.31/2,1.34,2017-01-16,2017-01-20
Late Night with Seth Meyers,NBC,0.39/3,1.41,0.45/3,1.60,2017-01-16,2017-01-20
Late Show with Stephen Colbert,CBS,0.52/3,2.84,0.56/3,2.95,2017-01-16,2017-01-20
Nightline,ABC,0.32/2,1.45,0.33/2,1.48,2017-01-16,2017-01-20
The Tonight Show Starring Jimmy Fallon,NBC,0.73/4,2.85,0.90/5,3.39,2017-01-16,2017-01-20
Jimmy Kimmel Live,ABC,0.49/3,2.34,0.50/3,2.26,2017-01-23,2017-01-27
Last Call with Carson Daly,NBC,0.24/2,0.78,0.27/2,0.88,2017-01-23,2017-01-27
Late Late Show with James Corden,CBS,0.24/2,1.13,0.31/2,1.34,2017-01-23,2017-01-27
Late Night with Seth Meyers,NBC,0.39/3,1.41,0.45/3,1.60,2017-01-23,2017-01-27
Late Show with Stephen Colbert,CBS,0.39/2,2.23,0.56/3,2.93,2017-01-23,2017-01-27
Nightline,ABC,0.32/2,1.46,0.33/2,1.49,2017-01-23,2017-01-27
The Tonight Show Starring Jimmy Fallon,NBC,0.75/4,3.02,0.89/5,3.39,2017-01-23,2017-01-27
Jimmy Kimmel Live,ABC,0.46/3,2.10,0.49/3,2.25,2017-02-06,2017-02-10
Last Call with Carson Daly,NBC,0.22/2,0.81,0.27/2,0.87,2017-02-06,2017-02-10
Late Late Show with James Corden,CBS,0.28/2,1.26,0.31/2,1.33,2017-02-06,2017-02-10
Late Night with Seth Meyers,NBC,0.39/3,1.50,0.45/3,1.60,2017-02-06,2017-02-10
Late Show with Stephen Colbert,CBS,0.54/3,3.01,0.56/3,2.95,2017-02-06,2017-02-10
Nightline,ABC,0.29/2,1.37,0.33/2,1.48,2017-02-06,2017-02-10
The Tonight Show Starring Jimmy Fallon,NBC,0.71/4,2.88,0.88/5,3.35,2017-02-06,2017-02-10
Jimmy Kimmel Live,ABC,0.42/2,2.11,0.49/3,2.25,2017-02-13,2017-02-17
Last Call with Carson Daly,NBC,0.22/2,0.79,0.26/2,0.87,2017-02-13,2017-02-17
Late Late Show with James Corden,CBS,0.30/2,1.34,0.31/2,1.34,2017-02-13,2017-02-17
Late Night with Seth Meyers,NBC,0.36/3,1.43,0.44/3,1.60,2017-02-13,2017-02-17
Late Show with Stephen Colbert,CBS,0.54/3,3.00,0.56/3,2.98,2017-02-13,2017-02-17
Nightline,ABC,0.28/2,1.41,0.33/2,1.48,2017-02-13,2017-02-17
The Tonight Show Starring Jimmy Fallon,NBC,0.67/4,2.71,0.87/5,3.33,2017-02-13,2017-02-17
Jimmy Kimmel Live,ABC,0.42/2,1.89,0.49/3,2.24,2017-02-20,2017-02-24
Last Call with Carson Daly,NBC,0.22/2,0.79,0.26/2,0.87,2017-02-20,2017-02-24
Late Late Show with James Corden,CBS,0.29/2,1.26,0.31/2,1.34,2017-02-20,2017-02-24
Late Night with Seth Meyers,NBC,0.37/3,1.45,0.44/3,1.60,2017-02-20,2017-02-24
Late Show with Stephen Colbert,CBS,0.53/3,3.07,0.57/3,3.02,2017-02-20,2017-02-24
Nightline,ABC,0.31/2,1.36,0.33/2,1.48,2017-02-20,2017-02-24
The Tonight Show Starring Jimmy Fallon,NBC,0.68/4,2.89,0.87/5,3.33,2017-02-20,2017-02-24
Jimmy Kimmel Live,ABC,0.49/3,2.28,0.49/3,2.25,2017-03-06,2017-03-10
Last Call with Carson Daly,NBC,0.21/2,0.76,0.26/2,0.86,2017-03-06,2017-03-10
Late Late Show with James Corden,CBS,0.35/3,1.44,0.31/2,1.34,2017-03-06,2017-03-10
Late Night with Seth Meyers,NBC,0.34/3,1.34,0.44/3,1.60,2017-03-06,2017-03-10
Late Show with Stephen Colbert,CBS,0.55/3,3.28,0.58/3,3.08,2017-03-06,2017-03-10
Nightline,ABC,0.34/3,1.44,0.33/2,1.48,2017-03-06,2017-03-10
The Tonight Show Starring Jimmy Fallon,NBC,0.62/4,2.47,0.86/5,3.30,2017-03-06,2017-03-10
Jimmy Kimmel Live,ABC,0.49/3,2.35,0.49/3,2.26,2017-03-13,2017-03-17
Last Call with Carson Daly,NBC,0.24/2,0.88,0.26/2,0.86,2017-03-13,2017-03-17
Late Late Show with James Corden,CBS,0.29/2,1.34,0.31/2,1.35,2017-03-13,2017-03-17
Late Night with Seth Meyers,NBC,0.39/3,1.50,0.44/3,1.60,2017-03-13,2017-03-17
Late Show with Stephen Colbert,CBS,0.54/3,3.18,0.58/3,3.11,2017-03-13,2017-03-17
Nightline,ABC,0.30/2,1.39,0.33/2,1.48,2017-03-13,2017-03-17
The Tonight Show Starring Jimmy Fallon,NBC,0.75/4,3.07,0.86/5,3.30,2017-03-13,2017-03-17
Jimmy Kimmel Live,ABC,0.45/2,2.09,0.49/3,2.26,2017-03-20,2017-03-24
Last Call with Carson Daly,NBC,0.22/2,0.77,0.26/2,0.86,2017-03-20,2017-03-24
Late Late Show with James Corden,CBS,0.28/2,1.19,0.31/2,1.35,2017-03-20,2017-03-24
Late Night with Seth Meyers,NBC,0.36/3,1.41,0.44/3,1.59,2017-03-20,2017-03-24
Late Show with Stephen Colbert,CBS,0.49/3,2.77,0.58/3,3.13,2017-03-20,2017-03-24
Nightline,ABC,0.30/2,1.34,0.33/2,1.48,2017-03-20,2017-03-24
The Tonight Show Starring Jimmy Fallon,NBC,0.64/4,2.74,0.85/5,3.28,2017-03-20,2017-03-24
Jimmy Kimmel Live,ABC,0.42/2,1.88,0.49/3,2.25,2017-03-27,2017-03-31
Last Call with Carson Daly,NBC,0.20/2,0.74,0.26/2,0.85,2017-03-27,2017-03-31
Late Late Show with James Corden,CBS,0.29/2,1.26,0.31/2,1.35,2017-03-27,2017-03-31
Late Night with Seth Meyers,NBC,0.33/3,1.40,0.43/3,1.59,2017-03-27,2017-03-31
Late Show with Stephen Colbert,CBS,0.51/3,2.99,0.58/3,3.14,2017-03-27,2017-03-31
Nightline,ABC,0.29/2,1.30,0.33/2,1.47,2017-03-27,2017-03-31
The Tonight Show Starring Jimmy Fallon,NBC,0.62/4,2.59,0.84/5,3.26,2017-03-27,2017-03-31
Jimmy Kimmel Live,ABC,0.40/2,1.93,0.49/3,2.24,2017-04-03,2017-04-07
Last Call with Carson Daly,NBC,0.23/2,0.80,0.25/2,0.85,2017-04-03,2017-04-07
Late Late Show with James Corden,CBS,0.34/3,1.41,0.31/2,1.35,2017-04-03,2017-04-07
Late Night with Seth Meyers,NBC,0.36/3,1.42,0.43/3,1.59,2017-04-03,2017-04-07
Late Show with Stephen Colbert,CBS,0.51/3,3.05,0.59/3,3.16,2017-04-03,2017-04-07
Nightline,ABC,0.28/2,1.26,0.32/2,1.47,2017-04-03,2017-04-07
The Tonight Show Starring Jimmy Fallon,NBC,0.68/4,2.98,0.84/5,3.26,2017-04-03,2017-04-07
Jimmy Kimmel Live,CBS,0.46/3,2.28,0.49/3,2.24,2017-04-10,2017-04-14
Last Call with Carson Daly,NBC,0.20/2,0.72,0.25/2,0.85,2017-04-10,2017-04-14
Late Late Show with James Corden,CBS,0.24/2,1.11,0.31/2,1.34,2017-04-10,2017-04-14
Late Night with Seth Meyers,NBC,0.30/2,1.21,0.43/3,1.58,2017-04-10,2017-04-14
Late Show with Stephen Colbert,ABC,0.39/2,2.22,0.58/3,3.15,2017-04-10,2017-04-14
Nightline,ABC,0.29/2,1.39,0.32/2,1.47,2017-04-10,2017-04-14
The Tonight Show Starring Jimmy Fallon,NBC,0.51/3,2.19,0.83/5,3.23,2017-04-10,2017-04-14
Jimmy Kimmel Live,ABC,0.40/2,1.92,0.48/3,2.23,2017-04-17,2017-04-21
Last Call with Carson Daly,NBC,0.20/2,0.68,0.25/2,0.84,2017-04-17,2017-04-21
Late Late Show with James Corden,CBS,0.26/2,1.24,0.31/2,1.34,2017-04-17,2017-04-21
Late Night with Seth Meyers,NBC,0.34/3,1.20,0.43/3,1.58,2017-04-17,2017-04-21
Late Show with Stephen Colbert,CBS,0.45/3,2.83,0.58/3,3.15,2017-04-17,2017-04-21
Nightline,ABC,0.27/2,1.31,0.32/2,1.46,2017-04-17,2017-04-21
The Tonight Show Starring Jimmy Fallon,NBC,0.64/4,2.59,0.83/5,3.21,2017-04-17,2017-04-21
Jimmy Kimmel Live,ABC,0.39/2,1.71,0.48/3,2.22,2017-04-24,2017-04-28
Last Call with Carson Daly,NBC,0.20/2,0.70,0.25/2,0.84,2017-04-24,2017-04-28
Late Late Show with James Corden,CBS,0.26/2,1.21,0.31/2,1.34,2017-04-24,2017-04-28
Late Night with Seth Meyers,NBC,0.32/2,1.31,0.42/3,1.57,2017-04-24,2017-04-28
Late Show with Stephen Colbert,CBS,0.44/2,2.74,0.57/3,3.14,2017-04-24,2017-04-28
Nightline,ABC,0.27/2,1.19,0.32/2,1.46,2017-04-24,2017-04-28
The Tonight Show Starring Jimmy Fallon,NBC,0.66/4,2.68,0.87/5,3.20,2017-04-24,2017-04-28
Jimmy Kimmel Live,ABC,0.40/2,1.95,0.48/3,2.21,2017-05-01,2017-05-05
Last Call with Carson Daly,NBC,0.18/2,0.72,0.25/2,0.84,2017-05-01,2017-05-05
Late Late Show with James Corden,CBS,0.29/2,1.32,0.31/2,1.34,2017-05-01,2017-05-05
Late Night with Seth Meyers,NBC,0.32/2,1.34,0.42/3,1.56,2017-05-01,2017-05-05
Late Show with Stephen Colbert,CBS,0.52/3,3.06,0.58/3,3.16,2017-05-01,2017-05-05
Nightline,ABC,0.26/2,1.28,0.32/2,1.45,2017-05-01,2017-05-05
The Tonight Show Starring Jimmy Fallon,NBC,0.60/3,2.65,0.82/4,3.19,2017-05-01,2017-05-05
Jimmy Kimmel Live,ABC,0.40/2,1.93,0.48/3,2.21,2017-05-08,2017-05-12
Last Call with Carson Daly,NBC,0.24/2,0.81,0.25/2,0.83,2017-05-08,2017-05-12
Late Late Show with James Corden,CBS,0.28/2,1.31,0.31/2,1.34,2017-05-08,2017-05-12
Late Night with Seth Meyers,NBC,0.36/3,1.41,0.42/3,1.56,2017-05-08,2017-05-12
Late Show with Stephen Colbert,CBS,0.52/3,3.07,0.58/3,3.17,2017-05-08,2017-05-12
Nightline,ABC,0.27/2,1.23,0.32/2,1.45,2017-05-08,2017-05-12
The Tonight Show Starring Jimmy Fallon,NBC,0.66/4,2.68,0.81/4,3.18,2017-05-08,2017-05-12
Jimmy Kimmel Live,ABC,0.38/2,1.86,0.48/3,2.20,2017-05-15,2017-05-19
Last Call with Carson Daly,NBC,0.24/2,0.80,0.25/2,0.83,2017-05-15,2017-05-19
Late Late Show with James Corden,CBS,0.27/2,1.22,0.31/2,1.34,2017-05-15,2017-05-19
Late Night with Seth Meyers,NBC,0.37/3,1.43,0.42/3,1.56,2017-05-15,2017-05-19
Late Show with Stephen Colbert,CBS,0.52/3,3.02,0.58/3,3.20,2017-05-15,2017-05-19
Nightline,ABC,0.25/2,1.27,0.32/2,1.44,2017-05-15,2017-05-19
The Tonight Show Starring Jimmy Fallon,NBC,0.68/4,2.67,0.81/4,3.17,2017-05-15,2017-05-19
Jimmy Kimmel Live,ABC,0.46/3,2.12,0.48/3,2.20,2017-05-22,2017-05-26
Last Call with Carson Daly,NBC,0.19/2,0.71,0.25/2,0.83,2017-05-22,2017-05-26
Late Late Show with James Corden,CBS,0.28/2,1.30,0.31/2,1.34,2017-05-22,2017-05-26
Late Night with Seth Meyers,NBC,0.32/3,1.35,0.42/3,1.56,2017-05-22,2017-05-26
Late Show with Stephen Colbert,CBS,0.48/3,2.96,0.58/3,3.22,2017-05-22,2017-05-26
Nightline,ABC,0.28/2,1.35,0.32/2,1.44,2017-05-22,2017-05-26
The Tonight Show Starring Jimmy Fallon,NBC,0.65/4,2.61,0.81/4,3.16,2017-05-22,2017-05-26
Jimmy Kimmel Live,ABC,0.70/4,2.50,0.49/3,2.22,2017-06-05,2017-06-09
Last Call with Carson Daly,NBC,0.19/2,0.68,0.24/2,0.83,2017-06-05,2017-06-09
Late Late Show with James Corden,CBS,0.25/2,1.26,0.30/2,1.34,2017-06-05,2017-06-09
Late Night with Seth Meyers,ABC,0.32/3,1.28,0.41/3,1.55,2017-06-05,2017-06-09
Late Show with Stephen Colbert,CBS,0.48/3,3.00,0.58/3,3.23,2017-06-05,2017-06-09
Nightline,NBC,0.47/4,1.63,0.32/2,1.45,2017-06-05,2017-06-09
The Tonight Show Starring Jimmy Fallon,NBC,0.63/4,2.57,0.80/4,3.15,2017-06-05,2017-06-09
Jimmy Kimmel Live,ABC,0.53/3,2.14,0.49/3,2.22,2017-06-12,2017-06-16
Last Call with Carson Daly,NBC,0.22/2,0.76,0.24/2,0.82,2017-06-12,2017-06-16
Late Late Show with James Corden,CBS,0.24/2,1.22,0.30/2,1.33,2017-06-12,2017-06-16
Late Night with Seth Meyers,NBC,0.38/3,1.42,0.41/3,1.55,2017-06-12,2017-06-16
Late Show with Stephen Colbert,CBS,0.43/2,2.76,0.58/3,3.22,2017-06-12,2017-06-16
Nightline,ABC,0.32/3,1.36,0.32/2,1.45,2017-06-12,2017-06-16
The Tonight Show Starring Jimmy Fallon,NBC,0.68/4,2.71,0.80/4,3.14,2017-06-12,2017-06-16
Jimmy Kimmel Live,ABC,0.42/2,1.96,0.49/3,2.21,2017-06-19,2017-06-23
Last Call with Carson Daly,NBC,0.19/2,0.74,0.24/2,0.82,2017-06-19,2017-06-23
Late Late Show with James Corden,CBS,0.24/2,1.17,0.30/2,1.34,2017-06-19,2017-06-23
Late Night with Seth Meyers,NBC,0.35/3,1.35,0.41/3,1.55,2017-06-19,2017-06-23
Late Show with Stephen Colbert,CBS,0.42/2,2.62,0.58/3,3.23,2017-06-19,2017-06-23
Nightline,ABC,0.28/2,1.29,0.32/2,1.44,2017-06-19,2017-06-23
The Tonight Show Starring Jimmy Fallon,NBC,0.68/4,2.66,0.80/4,3.13,2017-06-19,2017-06-23
Jimmy Kimmel Live,ABC,0.38/2,1.75,0.48/3,2.20,2017-06-26,2017-06-30
Last Call with Carson Daly,NBC,0.20/2,0.70,0.24/2,0.82,2017-06-26,2017-06-30
Late Late Show with James Corden,CBS,0.22/2,1.10,0.30/2,1.33,2017-06-26,2017-06-30
Late Night with Seth Meyers,NBC,0.33/3,1.31,0.41/3,1.54,2017-06-26,2017-06-30
Late Show with Stephen Colbert,CBS,0.41/2,2.73,0.58/3,3.24,2017-06-26,2017-06-30
Nightline,ABC,0.27/2,1.22,0.32/2,1.44,2017-06-26,2017-06-30
The Tonight Show Starring Jimmy Fallon,NBC,0.63/4,2.55,0.80/4,3.12,2017-06-26,2017-06-30
Jimmy Kimmel Live,ABC,0.35/2,1.71,0.48/3,2.20,2017-07-03,2017-07-07
Last Call with Carson Daly,NBC,0.19/2,0.69,0.24/2,0.82,2017-07-03,2017-07-07
Late Late Show with James Corden,CBS,0.22/2,1.11,0.30/2,1.33,2017-07-03,2017-07-07
Late Night with Seth Meyers,NBC,0.27/2,1.07,0.41/3,1.54,2017-07-03,2017-07-07
Late Show with Stephen Colbert,CBS,0.34/2,2.15,0.58/3,3.25,2017-07-03,2017-07-07
Nightline,ABC,0.21/2,1.12,0.32/2,1.44,2017-07-03,2017-07-07
The Tonight Show Starring Jimmy Fallon,NBC,0.54/3,2.23,0.80/4,3.11,2017-07-03,2017-07-07
